Sample Name	Protocol REF	Parameter Value[Post Extraction]	Parameter Value[Derivatization]	Extract Name	Protocol REF	Parameter Value[Chromatography Instrument]	Term Source REF	Term Accession Number	Parameter Value[Autosampler model]	Parameter Value[Column model]	Parameter Value[Column type]	Parameter Value[Guard column]	Labeled Extract Name	Label	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Scan polarity]	Parameter Value[Scan m/z range]	Parameter Value[Instrument]	Term Source REF	Term Accession Number	Parameter Value[Ion source]	Term Source REF	Term Accession Number	Parameter Value[Mass analyzer]	Term Source REF	Term Accession Number	MS Assay Name	Raw Spectral Data File	Protocol REF	Normalization Name	Derived Spectral Data File	Protocol REF	Data Transformation Name	Metabolite Assignment File
P01-LN	Extraction	100 ¦_L of 50% acetonitrile		P01-Ltu	Chromatography	Ultimate 3000 UPLC System	PSI:MS	PSI:MS_000457		Acquity UPLC BEH C18 column (2.1 mm ¡_ 100 mm, 1.7 ¦_m, Waters Corporation£©	reverse phase						Mass spectrometry	negative	70-1050	Q Exactive Hybrid Quadrupole-Orbitrap Mass Spectrometer	PSI:MS	PSI:MS_000598	Electrospray ionization (HESI)	PSI:MS	PSI:MS_000108	Quadrupole Orbitrap mass analyzer	PSI:MS	PSI:MS_000066	P01-Ltu		Data transformation	P01-Ltu	FILES/DERIVED_FILES/REVERSE/NEG/1.mzML	Metabolite identification	P01-Ltu	m_MTBLS13729_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
P01-Ltu	Extraction	100 ¦_L of 50% acetonitrile		P01-LN	Chromatography	Ultimate 3000 UPLC System	PSI:MS	PSI:MS_000457		Acquity UPLC BEH C18 column (2.1 mm ¡_ 100 mm, 1.7 ¦_m, Waters Corporation£©	reverse phase						Mass spectrometry	negative	70-1050	Q Exactive Hybrid Quadrupole-Orbitrap Mass Spectrometer	PSI:MS	PSI:MS_000598	Electrospray ionization (HESI)	PSI:MS	PSI:MS_000108	Quadrupole Orbitrap mass analyzer	PSI:MS	PSI:MS_000066	P01-LN		Data transformation	P01-LN	FILES/DERIVED_FILES/REVERSE/NEG/2.mzML	Metabolite identification	P01-LN	m_MTBLS13729_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
P02-LN	Extraction	100 ¦_L of 50% acetonitrile		P02-Ltu	Chromatography	Ultimate 3000 UPLC System	PSI:MS	PSI:MS_000457		Acquity UPLC BEH C18 column (2.1 mm ¡_ 100 mm, 1.7 ¦_m, Waters Corporation£©	reverse phase						Mass spectrometry	negative	70-1050	Q Exactive Hybrid Quadrupole-Orbitrap Mass Spectrometer	PSI:MS	PSI:MS_000598	Electrospray ionization (HESI)	PSI:MS	PSI:MS_000108	Quadrupole Orbitrap mass analyzer	PSI:MS	PSI:MS_000066	P02-Ltu		Data transformation	P02-Ltu	FILES/DERIVED_FILES/REVERSE/NEG/3.mzML	Metabolite identification	P02-Ltu	m_MTBLS13729_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
P02-Ltu	Extraction	100 ¦_L of 50% acetonitrile		P02-LN	Chromatography	Ultimate 3000 UPLC System	PSI:MS	PSI:MS_000457		Acquity UPLC BEH C18 column (2.1 mm ¡_ 100 mm, 1.7 ¦_m, Waters Corporation£©	reverse phase						Mass spectrometry	negative	70-1050	Q Exactive Hybrid Quadrupole-Orbitrap Mass Spectrometer	PSI:MS	PSI:MS_000598	Electrospray ionization (HESI)	PSI:MS	PSI:MS_000108	Quadrupole Orbitrap mass analyzer	PSI:MS	PSI:MS_000066	P02-LN		Data transformation	P02-LN	FILES/DERIVED_FILES/REVERSE/NEG/4.mzML	Metabolite identification	P02-LN	m_MTBLS13729_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
P03-LN	Extraction	100 ¦_L of 50% acetonitrile		P03-Ltu	Chromatography	Ultimate 3000 UPLC System	PSI:MS	PSI:MS_000457		Acquity UPLC BEH C18 column (2.1 mm ¡_ 100 mm, 1.7 ¦_m, Waters Corporation£©	reverse phase						Mass spectrometry	negative	70-1050	Q Exactive Hybrid Quadrupole-Orbitrap Mass Spectrometer	PSI:MS	PSI:MS_000598	Electrospray ionization (HESI)	PSI:MS	PSI:MS_000108	Quadrupole Orbitrap mass analyzer	PSI:MS	PSI:MS_000066	P03-Ltu		Data transformation	P03-Ltu	FILES/DERIVED_FILES/REVERSE/NEG/5.mzML	Metabolite identification	P03-Ltu	m_MTBLS13729_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
P03-Ltu	Extraction	100 ¦_L of 50% acetonitrile		P03-LN	Chromatography	Ultimate 3000 UPLC System	PSI:MS	PSI:MS_000457		Acquity UPLC BEH C18 column (2.1 mm ¡_ 100 mm, 1.7 ¦_m, Waters Corporation£©	reverse phase						Mass spectrometry	negative	70-1050	Q Exactive Hybrid Quadrupole-Orbitrap Mass Spectrometer	PSI:MS	PSI:MS_000598	Electrospray ionization (HESI)	PSI:MS	PSI:MS_000108	Quadrupole Orbitrap mass analyzer	PSI:MS	PSI:MS_000066	P03-LN		Data transformation	P03-LN	FILES/DERIVED_FILES/REVERSE/NEG/6.mzML	Metabolite identification	P03-LN	m_MTBLS13729_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
P04-LN	Extraction	100 ¦_L of 50% acetonitrile		P04-Ltu	Chromatography	Ultimate 3000 UPLC System	PSI:MS	PSI:MS_000457		Acquity UPLC BEH C18 column (2.1 mm ¡_ 100 mm, 1.7 ¦_m, Waters Corporation£©	reverse phase						Mass spectrometry	negative	70-1050	Q Exactive Hybrid Quadrupole-Orbitrap Mass Spectrometer	PSI:MS	PSI:MS_000598	Electrospray ionization (HESI)	PSI:MS	PSI:MS_000108	Quadrupole Orbitrap mass analyzer	PSI:MS	PSI:MS_000066	P04-Ltu		Data transformation	P04-Ltu	FILES/DERIVED_FILES/REVERSE/NEG/7.mzML	Metabolite identification	P04-Ltu	m_MTBLS13729_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
P04-Ltu	Extraction	100 ¦_L of 50% acetonitrile		P04-LN	Chromatography	Ultimate 3000 UPLC System	PSI:MS	PSI:MS_000457		Acquity UPLC BEH C18 column (2.1 mm ¡_ 100 mm, 1.7 ¦_m, Waters Corporation£©	reverse phase						Mass spectrometry	negative	70-1050	Q Exactive Hybrid Quadrupole-Orbitrap Mass Spectrometer	PSI:MS	PSI:MS_000598	Electrospray ionization (HESI)	PSI:MS	PSI:MS_000108	Quadrupole Orbitrap mass analyzer	PSI:MS	PSI:MS_000066	P04-LN		Data transformation	P04-LN	FILES/DERIVED_FILES/REVERSE/NEG/8.mzML	Metabolite identification	P04-LN	m_MTBLS13729_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
P05-LN	Extraction	100 ¦_L of 50% acetonitrile		P05-Ltu	Chromatography	Ultimate 3000 UPLC System	PSI:MS	PSI:MS_000457		Acquity UPLC BEH C18 column (2.1 mm ¡_ 100 mm, 1.7 ¦_m, Waters Corporation£©	reverse phase						Mass spectrometry	negative	70-1050	Q Exactive Hybrid Quadrupole-Orbitrap Mass Spectrometer	PSI:MS	PSI:MS_000598	Electrospray ionization (HESI)	PSI:MS	PSI:MS_000108	Quadrupole Orbitrap mass analyzer	PSI:MS	PSI:MS_000066	P05-Ltu		Data transformation	P05-Ltu	FILES/DERIVED_FILES/REVERSE/NEG/9.mzML	Metabolite identification	P05-Ltu	m_MTBLS13729_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
P05-Ltu	Extraction	100 ¦_L of 50% acetonitrile		P05-LN	Chromatography	Ultimate 3000 UPLC System	PSI:MS	PSI:MS_000457		Acquity UPLC BEH C18 column (2.1 mm ¡_ 100 mm, 1.7 ¦_m, Waters Corporation£©	reverse phase						Mass spectrometry	negative	70-1050	Q Exactive Hybrid Quadrupole-Orbitrap Mass Spectrometer	PSI:MS	PSI:MS_000598	Electrospray ionization (HESI)	PSI:MS	PSI:MS_000108	Quadrupole Orbitrap mass analyzer	PSI:MS	PSI:MS_000066	P05-LN		Data transformation	P05-LN	FILES/DERIVED_FILES/REVERSE/NEG/10.mzML	Metabolite identification	P05-LN	m_MTBLS13729_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
