database_identifier	chemical_formula	smiles	inchi	metabolite_identification	mass_to_charge	fragmentation	modifications	charge	retention_time	taxid	species	database	database_version	reliability	uri	search_engine	search_engine_score	smallmolecule_abundance_sub	smallmolecule_abundance_stdev_sub	smallmolecule_abundance_std_error_sub	P01-Ltu	P01-LN	P02-Ltu	P02-LN	P03-Ltu	P03-LN	P04-Ltu	P04-LN	P05-Ltu	P05-LN	P06-Ltu	P06-LN	P07-Ltu	P07-LN	P08-Ltu	P08-LN	P09-Ltu	P09-LN	P10-Ltu	P10-LN	P11-Rtu	P11-RN	P12-Rtu	P12-RN	P13-Rtu	P13-RN	P14-Rtu	P14-RN	P15-Rtu	P15-RN	P16-Rtu	P16-RN	P17-Rtu	P17-RN	P18-Rtu	P18-RN	P19-Rtu	P19-RN	P20-Rtu	P20-RN	P21-Rmu	P21-RN	P22-Rmu	P22-RN	P23-Rmu	P23-RN	P24-Rmu	P24-RN	P25-Rmu	P25-RN	P26-Rmu	P26-RN	P27-Rmu	P27-RN	P28-Rmu	P28-RN	P29-Rmu	P29-RN	P30-Rmu	P30-RN
HMDB0000008				2-Hydroxybutyric acid	103.04013				1.995												0.584424354	0.491740421	0.373204487	0.275710575	0.199751063	0.18283301	0.417808769	0.153138668	0.205715238	0.163364696	0.179886922	0.122271643	0.153512736	0.236027941	0.259614904	0.272197706	0.252220598	0.290799418	0.119671164	0.128263939	0.209438896	0.181342764	0.257638674	0.178862481	0.367491277	0.269190366	0.154018489	0.103853868	0.24361358	0.124366325	0.098890086	0.08765579	0.360588498	0.348084866	0.140899715	0.136831418	0.220445213	0.254688239	0.194496627	0.217528985	0.164405144	0.161045703	0.101341046	0.114143231	0.522471473	0.14914299	0.162957882	0.133839858	0.388418934	0.326666076	0.229978401	0.120760456	0.481075689	0.285617827	0.148275901	0.114580738	0.526118673	0.212056048	0.778384297	0.157026469
HMDB0000208				2-Oxoglutaric acid	145.01431				7.841												0.963437993	1.834543002	0.722610274	0.411936549	1.889998789	1.127390017	1.910148779	1.425866953	1.865999471	1.087780415	1.706512953	1.204393036	1.982925203	5.138031647	1.66749304	1.497716414	2.666112079	2.172188364	1.137106688	2.153639348	2.065951234	0.883253266	1.040356295	1.199880201	0.789943555	0.868603482	0.950798738	0.467359173	0.610523535	0.247470237	0.789256982	1.031519505	4.329963114	1.914091519	1.017199163	0.580846799	0.906840758	1.234751463	1.118073186	1.70175171	1.361953442	0.548683863	0.655920489	0.994690505	0.771252627	0.143089881	0.488119641	1.669967374	1.006213355	0.328839999	1.054029135	0.255647118	1.136336847	0.628698044	0.433486445	0.588978989	0.789316856	0.522764536	0.2850364	0.432255603
HMDB0000362				2-Phosphoglyceric acid	184.98558				9.262												0.010618851	0.008669636	0.005013488	0.003082627	0.007689826	0.010369044	0.004224675	0.015331338	0.011958376	0.009186434	0.003142288	0.024633839	0.019634646	0.072840788	0.012769632	0.019302655	0.036450103	0.005407146	0.015020607	0.028348001	0.012987983	0.012902721	0.006582512	0.022855903	0.018635476	0.005019306	0.002016527	0.002312045	0.005750396	0.012201484	0.003329189	0.00662364	0.022296689	0.0130972	0.018939398	0.030799408	0.006023722	0.002698327	0.014124073	0.032521879	0.014092151	0.018327674	0.007223854	0.002742334	0.023556968	0.020283993	0.006452769	0.003953821	0.007156724	0.015684333	0.001162999	0.016226764	0.004118406	0.018674191	0.030638212	0.014685692	0.005927344	0.028753677	0.016740817	0.02051693
HMDB0000807				3-Phosphoglyceric acid	184.98557				9.381												0.010618851	0.028197438	0.014258496	0.009089609	0.007689826	0.037558811	0.011237595	0.04792787	0.011958376	0.035020656	0.012037734	0.024633839	0.019634646	0.217586373	0.040527586	0.055850655	0.036450103	0.033519044	0.052623226	0.028348001	0.033300015	0.030752872	0.019873712	0.022855903	0.042976155	0.015651991	0.006510599	0.002312045	0.019573786	0.045463101	0.007776763	0.00662364	0.022296689	0.0130972	0.018939398	0.030799408	0.006023722	0.00535679	0.014124073	0.032521879	0.047640371	0.055088008	0.028868336	0.005650491	0.023556968	0.054159463	0.019577052	0.013406924	0.007156724	0.044199208	0.003400385	0.016226764	0.016095268	0.018674191	0.030638212	0.014685692	0.016058644	0.028753677	0.052419075	0.068058682
HMDB0000517				Arginine	173.10422				12.073												0.100081688	0.049209971	0.13678396	0.091428465	0.184562725	0.295363801	0.099426701	0.370101108	0.112577024	0.198813499	0.17272267	0.178411804	0.373201558	0.380441229	0.338809698	0.245778751	0.29108595	0.137349543	0.523831409	0.065889912	0.26457566	0.131581318	0.367152324	0.162379923	0.25671898	0.055212944	0.151910621	0.091277661	0.341511397	0.182500949	0.07956978	0.058909863	0.469183508	0.68886544	0.354268443	0.084356088	0.090698866	0.180054961	0.181289835	0.020325128	0.481383516	0.305821795	0.343547962	0.077204325	0.13605144	0.242228839	0.175454327	0.103833058	0.083503431	0.213638129	0.118726587	0.018632317	0.154489241	0.008658209	0.151967743	0.02078353	0.607250787	0.529571361	0.226935014	0.308271853
HMDB0000191				Aspartic acid	132.03022				8.26												44.34105031	14.76279745	16.33636707	9.267582486	103.8312371	12.93025219	95.44725423	16.43171043	21.0559269	14.79885208	21.36949333	16.1295682	54.68514299	7.653553284	55.86154927	16.15960296	26.31752545	18.13180372	26.90203489	17.55461783	13.95592922	16.44930793	42.65405815	22.67482746	16.41058802	6.139675918	38.545718	9.736277298	27.60703701	7.072896277	15.45104605	11.81630509	46.97986668	64.38394818	102.4226158	13.71395873	19.11740546	42.17691564	76.56676573	35.14537425	23.46595214	18.30668679	27.12903687	15.89893722	21.32876589	3.994615375	6.348880301	15.84319997	48.38953617	10.50305664	41.559031	12.20750116	27.04312675	17.58446872	56.73887223	21.29563953	68.07719503	16.74776087	24.5939677	19.21636493
HMDB0028746				Aspartyl-Alanine	203.06724				8.491												1.27502776	0.641895703	0.273408958	0.260369229	1.041971463	0.713485269	1.016572546	1.44987555	0.691910722	0.543404889	0.710773931	0.519694103	0.86240919	0.377893601	1.161851606	0.873467183	0.489591058	0.468859471	0.652513648	0.108521497	1.335352829	0.784739007	0.598481332	0.710479759	0.418914885	0.3528639	0.471231656	0.305351335	0.339071046	0.399590079	0.387389359	0.2164985	0.544191449	1.003085735	0.881519757	0.460607834	0.610885865	0.94709127	0.324741025	0.339912818	0.119292497	0.170620923	0.427756775	0.054183362	0.238167435	0.078327818	0.0861777	0.273882994	1.161187718	0.251920468	0.818149787	0.107846315	0.40741114	0.181887546	0.639229127	0.16168145	1.186950017	0.429405383	0.386309385	0.34255539
HMDB0028766				Aspartyl-Valine	231.09819				7.542												1.955537694	0.226927852	0.26541254	0.116619883	0.693902812	0.620468462	0.991479785	1.936987517	1.229578858	0.272736173	0.492299039	0.273785415	1.703019674	1.360386898	0.600159902	1.053211735	0.741340542	0.527204956	1.567889469	0.162286845	1.581116264	0.554100131	2.272322522	0.469313322	2.04877099	0.298848983	0.398650241	0.074935433	1.146882318	0.261023315	0.091430116	0.080917246	0.337643114	0.820599629	1.791764105	0.570191121	0.554789633	1.524578093	0.981650228	0.563055166	0.673058257	0.554510989	0.517528514	0.092776072	0.473165711	0.05975553	1.094254702	0.661528574	1.221667395	1.373609583	0.58445759	0.204766374	0.652869697	0.304455865	0.419730659	0.149147126	2.079989835	0.709573093	0.820432411	0.686811782
HMDB0000072				cis-Aconitic acid	173.00896				9.347												0.02744337	0.038975234	0.014944482	0.020661026	0.035412828	0.114661465	0.031173265	0.027625863	0.037179694	0.024003279	0.028181599	0.023820728	0.065741475	0.178921835	0.075755722	0.058167841	0.061620821	0.059070864	0.028905697	0.035865965	0.181648571	0.068841941	0.021560333	0.058270418	0.028231504	0.05326784	0.020795873	0.032195741	0.011070219	0.03310202	0.039377336	0.118523088	0.047445338	0.03480759	0.043662322	0.065695379	0.033311627	0.040115146	0.044363579	0.061541165	0.054898865	0.027499698	0.01817317	0.030297436	0.02396706	0.018179041	0.080371202	0.071730055	0.025092607	0.062763509	0.021563917	0.036095951	0.034269102	0.056873124	0.044202045	0.035557245	0.032334556	0.035780311	0.024563531	0.126454705
HMDB0001176				CMP-N-acetylneuraminic acid	613.13904				8.745												0.300208373	0.027080083	0.033543403	0.007519049	0.077608456	0.098930888	0.089526024	0.025133519	0.148533485	0.048334016	0.048057937	0.028579125	0.324272013	0.074826266	0.2127509	0.031190238	0.171427565	0.171876108	0.206358798	0.096897647	0.119914537	0.120533713	0.084439541	0.051698098	0.074061486	0.039633495	0.137973047	0.007760866	0.1405043	0.013495282	0.024744285	0.033286753	0.033997089	0.041186217	0.038962514	0.057071216	0.051308307	0.380883399	0.034376668	0.336951003	0.144559282	0.063207666	0.098436523	0.132492077	0.042065193	0.003244148	0.220414701	0.130708204	0.103661685	0.08642003	0.057606741	0.123733001	0.130870537	0.167496689	0.063207216	0.086127154	0.04615929	0.019591113	0.068469646	0.040710057
HMDB0000192				Cystine	239.01626				8.779												0.820405448	0.047096991	0.05874339	0.202571628	1.324296577	0.580255216	3.102223981	2.528758644	1.106439337	0.127835432	1.464780679	0.715197981	3.765860315	0.955367566	1.726615258	0.876137797	2.050235461	2.04902892	3.857397593	1.34800652	0.70189647	0.321204132	1.247137615	1.481201746	0.903639354	0.30550254	0.037017649	0.459824672	1.299148756	0.581568248	0.009892512	0.167850095	2.650479634	1.910836956	2.045988773	0.250652839	0.081474496	0.495595791	1.359092548	1.04939087	1.943579779	1.677070869	0.009206505	0.45950319	0.690483242	0.090146357	0.394526399	0.876125998	1.282513264	1.067546893	1.816162094	0.131971263	0.954221778	0.458484138	1.617708845	0.14412341	3.843821655	0.900725738	8.441184888	1.084222158
HMDB0000095				Cytidine monophosphate	322.04408				8.653												0.101697301	0.05051397	0.054778031	0.121753532	0.148294729	0.060089038	0.320104696	0.778841835	0.123720379	0.071281307	0.098055109	0.098343637	0.694219926	0.659322503	0.479788169	1.590200491	0.290444805	1.051070689	0.902250019	0.120560798	0.086605376	0.065961836	0.098514429	0.374864199	0.230421937	0.130287033	0.043454006	0.056129436	0.425930747	0.315019715	0.08129567	0.216065141	0.068068853	0.081563835	0.221177836	0.310439713	0.094196712	0.116928318	0.155633242	0.63301774	0.134194311	0.78153448	0.392761849	0.104477168	0.079828047	0.026505237	0.056425411	1.705363014	0.19802077	0.843542939	0.148625184	0.230429699	0.229451815	0.860709817	0.348435057	0.163463409	0.090173996	0.159277743	0.71720835	2.136252635
HMDB0000071				Deoxyinosine	251.07824				2.737												0.173079827	0.017644294	0.034354978	0.010243935	0.103476824	0.011081899	0.228222767	0.054579284	0.106099742	0.007136974	0.047131672	0.016185335	0.121979286	0.014148083	0.071016961	0.022884855	0.104545859	0.050106313	0.128485029	0.067208776	0.0504504	0.003531582	0.055642223	0.068456607	0.074589322	0.013305849	0.077307155	0.008667741	0.100010319	0.003800198	0.041769999	0.01134445	0.014673387	0.045374424	0.226686314	0.035929877	0.026112627	0.066666602	0.049948123	0.673156517	0.064268739	0.038970233	0.036596412	0.028146705	0.035604498	0.025822347	0.015733969	0.015073533	0.061632078	0.011684563	0.035503794	0.122910665	0.038632214	0.437284764	0.076843746	0.066458148	0.035335223	0.013318074	0.160782537	0.032839303
HMDB0000638				Dodecanoic acid	199.17034				0.789												0.307073881	0.37368306	0.184997674	0.208685204	0.270550922	0.435212083	0.396931284	0.143135944	0.237897792	0.324637344	0.412792945	0.339946114	0.233504397	0.262862677	0.154738081	0.323205928	0.404326573	0.246289961	0.416669435	0.808160306	0.115337715	0.165815102	0.19371334	0.238566713	0.568208523	1.360042332	0.158597495	0.572487851	0.154123372	0.361638365	0.157021741	0.872762787	1.766615315	0.649272384	0.264165007	0.351801455	0.203074244	0.225805272	0.283334964	0.759467338	0.309504688	0.426075084	0.243787327	0.286714605	0.214011097	0.39238272	0.333332711	0.431520106	0.396393568	1.44977327	0.294269985	0.496921363	0.288164846	0.694017875	2.030942445	1.104749487	0.211405232	0.279486829	1.613437529	1.258789896
HMDB0005060				Eicosadienoic acid	307.26402				0.75												0.291040421	0.03568848	0.231987743	0.077809489	0.057162528	0.019619424	0.551010108	0.079820555	0.175249088	0.041377022	0.218838848	0.074943639	0.411459217	0.087572548	0.20260716	0.101645791	0.104646109	0.162858038	0.162671297	0.071378625	0.166367582	0.053940375	0.188766545	0.130287453	0.135967132	0.06243286	0.714905662	0.073057242	0.074914633	0.073714467	0.175651199	0.140776559	0.140928975	0.130667868	0.320787613	0.135065061	0.068135659	0.26705581	0.538267097	0.557942702	0.161262914	0.072001638	0.126692861	0.098076449	0.107834204	0.125919456	0.107916869	0.202582611	0.3769396	0.143087775	0.558019074	0.093842803	0.246188029	0.334897066	0.147983705	0.014662941	0.721006045	0.092315996	1.332088818	0.129630037
