database_identifier	chemical_formula	smiles	inchi	metabolite_identification	mass_to_charge	fragmentation	modifications	charge	retention_time	taxid	species	database	database_version	reliability	uri	search_engine	search_engine_score	smallmolecule_abundance_sub	smallmolecule_abundance_stdev_sub	smallmolecule_abundance_std_error_sub	P01-Ltu	P01-LN	P02-Ltu	P02-LN	P03-Ltu	P03-LN	P04-Ltu	P04-LN	P05-Ltu	P05-LN	P06-Ltu	P06-LN	P07-Ltu	P07-LN	P08-Ltu	P08-LN	P09-Ltu	P09-LN	P10-Ltu	P10-LN	P11-Rtu	P11-RN	P12-Rtu	P12-RN	P13-Rtu	P13-RN	P14-Rtu	P14-RN	P15-Rtu	P15-RN	P16-Rtu	P16-RN	P17-Rtu	P17-RN	P18-Rtu	P18-RN	P19-Rtu	P19-RN	P20-Rtu	P20-RN	P21-Rmu	P21-RN	P22-Rmu	P22-RN	P23-Rmu	P23-RN	P24-Rmu	P24-RN	P25-Rmu	P25-RN	P26-Rmu	P26-RN	P27-Rmu	P27-RN	P28-Rmu	P28-RN	P29-Rmu	P29-RN	P30-Rmu	P30-RN
HMDB0002327				1,11-Undecanedicarboxylic acid	243.16006				6.724												1.06771704	0.45618769	0.057611869	0.127890446	0.24484884	0.038250078	2.209361222	0.060258899	0.088515715	0.2339761	1.913462252	0.967646163	0.332753463	0.047766877	0.186675004	0.292164002	0.124321317	0.873931223	0.170419294	0.894415605	1.304012159	8.946921339	1.06071667	10.06769254	0.062187469	7.766607251	2.723324459	1.946275747	0.783330148	0.10558576	0.25099215	1.83187007	2.732916534	2.732916534	4.890816784	1.42645392	8.623649974	3.726503471	0.557674642	1.059054766	1.791471158	3.543499578	2.558728107	10.03646877	6.37124737	3.151892406	4.592085259	24.09292833	7.514930347	7.630036146	4.154241922	1.809457546	5.125392127	13.53930514	6.04448325	3.24574219	15.05455397	0.87115314	2.784520735	55.12133258
HMDB0030980				10-Oxooctadecanoic acid	297.24322				9.315												328.6402952	141.8269696	13.85404848	33.22032959	65.10791431	6.985813754	569.4559469	13.55398593	21.40395065	66.17041373	631.7179635	256.5698492	95.11146819	8.511409829	45.84778747	76.41694113	33.87323113	261.6046423	46.29203854	268.2097869	339.4625789	2373.327484	318.746718	2881.677234	12.22810217	2440.468193	837.4928875	525.1770204	253.7252452	26.71726236	71.78956721	580.8559009	807.9382886	807.9382886	1481.993308	392.7409658	2527.114631	1052.095597	161.9484134	338.9803168	512.2504409	1088.46024	787.6437075	2599.72221	1584.50829	1222.940436	1698.726809	6830.280144	2479.831214	2355.154777	1334.837314	709.3252899	1952.861243	3768.051983	2113.294277	865.2543086	4540.931441	308.327614	1198.351057	13812.56667
HMDB0013622				10Z-Nonadecenoic acid	295.26384				10.452												31.03302502	14.34638181	1.434747901	3.258224236	6.551630076	0.646017877	53.05505782	1.259537122	1.282939763	6.089992101	57.87487763	23.15032209	5.698139009	0.844598291	4.128463602	6.917686878	3.068319921	21.26174803	4.109133185	23.61130573	32.90150702	196.6318599	17.66263851	261.6185227	1.189477155	218.4471368	76.05981193	42.73125389	20.41286703	1.45892357	5.996021014	50.2845154	40.57758115	40.57758115	127.0980328	35.56850483	235.1583085	97.50218583	13.75658254	31.36743646	45.25018602	50.23782815	37.9782324	247.2263723	87.17715926	84.99189096	123.1375505	520.2043203	166.6901493	159.8231418	118.6855461	26.73697553	73.92587311	277.2196662	151.5380285	37.41448197	305.228178	21.50943399	48.30565429	559.5098008
HMDB0002231				11Z-Eicosenoic acid	309.27976				10.716												39.35072005	16.14556855	2.047459283	4.202247415	7.896087578	0.916696405	69.05280697	1.667962303	2.566920276	7.998138048	75.23171932	32.27270953	12.64602362	1.218114698	6.153320759	10.93565242	4.334643974	32.70174525	6.180270246	31.88905863	43.73370665	298.5409454	41.46353223	360.5518543	1.744413701	309.0851275	113.9185564	65.0315277	32.18513975	3.576296131	8.957577307	76.5683145	102.1066388	102.1066388	197.4183112	53.95815809	334.427033	146.5337221	21.95251898	46.06870086	70.36055281	128.3340746	92.30205464	324.8530763	210.071921	117.9417704	156.4148339	667.5683817	231.8422301	215.2782595	158.6268358	64.23832257	188.9645897	340.8085147	193.6827297	101.3259679	416.3889025	27.21235612	121.0403103	1237.063623
HMDB0004705				12,13-DHOME	313.23849				8.563												75.70917587	32.71547427	2.775453989	7.470929247	13.52139749	5.408681954	135.7689852	2.942454854	4.188147669	13.55699914	153.8920578	60.62533703	21.55277455	1.710650219	11.45776138	20.24319034	7.735230133	57.78979919	11.41313315	61.65185298	95.97732794	595.5880049	76.11985907	692.8078887	2.81055392	577.4125313	202.6359975	119.9378705	60.40793323	6.364980767	17.23079212	137.6057548	191.8767053	191.8767053	366.8276463	94.78364058	609.7808923	253.8795164	33.53390625	73.94861613	134.1775554	237.1758812	179.0756976	618.6304581	369.0440385	191.6721693	309.2488948	1207.010605	392.8656522	404.5957383	297.7570784	122.7106	334.4306928	635.5855796	368.8669591	192.6451242	797.9938176	48.47815322	217.1703215	2321.518874
HMDB0061706				12-Hydroxystearic acid	299.25982				9.749												2.983863355	1.331769644	0.129462512	0.32531367	0.662292955	0.078343853	5.08815241	0.131653331	0.195295679	0.648621853	5.747746309	2.588935452	0.961006921	0.093956635	0.912108971	0.749882847	0.34571528	2.499355181	0.421355508	2.550122933	3.165393546	23.98174343	3.359559613	28.37002394	0.121054352	21.29067343	8.008541843	4.546213006	2.32148387	0.231444549	0.70508765	8.934053866	6.928602378	6.928602378	13.2374786	3.755609304	24.82221984	10.17752945	1.506956956	3.315591911	5.911384309	15.20978702	7.463198408	47.00639645	14.47745808	8.16609012	11.38200211	45.88638292	16.99847668	19.27995358	19.08662991	7.195236433	13.01409204	37.39524026	17.08173394	8.430736827	30.57933317	2.083936033	13.95061143	88.34471832
HMDB0004667				13-HODE	295.22769				9.157												274.2311959	153.5907996	15.04549392	29.73039101	71.50517662	7.912098564	630.7800715	14.94971765	23.12243963	57.25156188	662.6632968	223.4873058	103.94389	10.22337225	51.35747559	87.1288495	37.32631593	274.172369	41.47198366	229.1624032	373.5885167	2605.329473	335.8935674	3029.027918	10.6347107	2103.905903	913.331433	445.6086939	263.3914769	28.61814186	78.45679996	599.2681318	824.3485067	824.3485067	1279.259181	425.1841727	2768.140609	1149.935577	173.2119745	362.1813577	471.705849	1090.641071	813.1363917	2797.224332	1619.550044	997.9475524	1370.476691	5604.173445	1900.267191	1897.563154	1354.967983	568.3497623	1566.674439	3003.036591	1691.525311	945.3584868	3589.697881	250.2484126	985.9724945	10998.84212
HMDB0003871				13-HpODE	311.22295				8.738												60.17933854	24.96546118	1.406324994	6.085503457	11.20953035	1.372052123	88.63466295	1.97829479	3.539975487	10.83184904	114.1270661	48.48027019	16.7907989	0.872311176	9.909698384	8.918451796	6.269411891	44.3123398	7.996457012	44.11545801	59.13348433	422.7987327	33.24745656	512.079823	2.20426637	435.8433695	156.3003707	98.27602314	44.57899683	4.933594045	7.669330229	105.1775584	136.8074918	136.8074918	259.1914237	71.40125712	460.143783	174.5966076	26.46837172	57.08727645	98.93529226	191.8904548	134.6111513	439.8006047	288.5889493	165.1893114	221.1604893	905.238754	312.6220341	310.0296136	212.6183399	90.87229734	245.9231767	506.5646969	275.1555026	152.5514444	585.5005563	38.13721153	174.1720769	1812.827926
HMDB0061662				13-hydroxyoctadecanoic acid	299.25944				9.861												12.10386085	5.487112631	0.561772514	1.334746005	2.650619852	0.281047375	22.15495923	0.503190648	0.856994453	2.386384035	21.77689671	9.354798694	3.288320741	0.334976161	1.760034583	2.944672907	1.272452052	8.981324817	1.757802466	9.324238928	12.27795001	86.66559309	12.00184067	116.6870648	0.434693423	86.21018709	30.548582	18.18125567	8.980007075	0.99046579	2.601902908	19.31837849	26.6806235	26.6806235	49.24946316	14.09783232	88.25273975	37.15914051	5.580673075	12.42928326	20.14545095	38.82014411	28.03798191	98.89867939	57.42703059	32.37496755	45.02195868	190.9425207	66.45348452	62.58399787	65.26964837	19.85679401	55.39623885	105.9347876	60.25449765	31.13096789	126.1268789	9.841560012	34.8027436	401.7586727
HMDB0006294				16-Hydroxyhexadecanoic acid	271.22788				9.593												5.621694576	2.278322288	0.245341693	0.591907073	1.117870075	0.131034715	9.315226537	0.243941245	0.370724569	1.110241873	10.17883909	4.02234119	1.578013425	0.163881429	0.802369745	1.350883838	0.554199638	4.089697649	0.789995058	4.159683656	5.31024186	37.87040088	5.319465827	45.34753014	0.208754153	38.22771875	14.11195843	8.029582069	4.07779388	0.44125546	1.159432291	9.091847273	12.25178714	12.25178714	23.46279589	6.242444338	39.61449215	16.92305083	2.525522775	5.067831987	8.387690925	16.70213092	11.58482128	43.13826206	24.23213852	14.41529525	20.2521644	82.56496904	28.52303366	27.25131319	21.1996406	8.214656281	23.54251674	45.14381707	25.3505927	12.99740983	54.78351542	4.00356746	13.96385707	165.8787901
