database_identifier	chemical_formula	smiles	inchi	metabolite_identification	mass_to_charge	fragmentation	modifications	charge	retention_time	taxid	species	database	database_version	reliability	uri	search_engine	search_engine_score	smallmolecule_abundance_sub	smallmolecule_abundance_stdev_sub	smallmolecule_abundance_std_error_sub	P01-Ltu	P01-LN	P02-Ltu	P02-LN	P03-Ltu	P03-LN	P04-Ltu	P04-LN	P05-Ltu	P05-LN	P06-Ltu	P06-LN	P07-Ltu	P07-LN	P08-Ltu	P08-LN	P09-Ltu	P09-LN	P10-Ltu	P10-LN	P11-Rtu	P11-RN	P12-Rtu	P12-RN	P13-Rtu	P13-RN	P14-Rtu	P14-RN	P15-Rtu	P15-RN	P16-Rtu	P16-RN	P17-Rtu	P17-RN	P18-Rtu	P18-RN	P19-Rtu	P19-RN	P20-Rtu	P20-RN	P21-Rmu	P21-RN	P22-Rmu	P22-RN	P23-Rmu	P23-RN	P24-Rmu	P24-RN	P25-Rmu	P25-RN	P26-Rmu	P26-RN	P27-Rmu	P27-RN	P28-Rmu	P28-RN	P29-Rmu	P29-RN	P30-Rmu	P30-RN
HMDB0003331				1-Methyladenosine	282.11605				3.329												0.674462939	0.178417973	0.579627768	0.370263589	0.741518427	0.695315969	1.856111173	0.582534532	0.587577418	0.25521705	0.612980765	0.239415926	0.960796962	0.359779491	1.705305599	0.561023688	0.653063541	0.55106927	1.484090241	0.750071125	0.404507724	0.393992705	0.685658615	0.742071055	0.734073881	0.29359887	1.429260743	0.381098684	1.114874394	0.225883113	0.340824761	0.260414738	0.361476831	0.453985049	1.132817441	0.34726514	0.300694638	0.823740442	0.724739056	0.708644808	0.935185713	0.511507413	0.499595378	0.307196471	0.784223007	0.094759921	0.848371405	0.357227319	2.635854645	0.474647733	3.56951516	0.167193913	0.692018751	0.346537119	0.652194419	0.27130928	0.58756083	0.295109667	1.398183023	0.429374858
HMDB0000001				1-Methylhistidine	170.08989				7.097												3.932593511	2.824772254	1.548434509	1.180841317	3.580200629	3.568241845	2.662162645	1.59579176	5.75420737	4.328044664	3.880791867	2.327513531	2.579149214	1.85117872	3.874923123	2.152126994	5.320371076	3.498214481	2.73760231	2.592062298	5.65779502	2.894845862	2.886576871	1.87041668	4.054241126	2.933078499	1.835901953	0.495437094	6.678821264	2.408898174	1.351135335	1.615347672	2.372505142	3.98372463	2.080987952	2.06941046	3.392819187	2.912264445	2.621803724	1.832139756	2.758150788	1.248734596	2.914893355	1.989968657	1.339081645	0.161588441	4.70573626	2.09755175	2.187157003	1.147190722	3.665882845	0.714629187	4.000865197	3.200506554	2.846941909	3.556774065	1.686508451	2.154004166	0.41518721	1.009635782
HMDB0002210				2-Phenylglycine	152.06833				5.189												0.002832692	0.056936092	0.002348938	0.004330961	0.005135189	0.139061111	0.002853151	0.10641869	0.002313217	0.027650282	0.001823071	0.043323003	0.002790547	0.045922092	0.002628843	0.038851053	0.003688374	0.046436101	0.004429534	0.054167572	0.002728942	0.094108334	0.004004373	0.051282484	0.004330287	0.042799642	0.00391148	0.010967319	0.005927675	0.067034055	0.0089936	0.00261186	0.004926842	0.036536866	0.004763726	0.041743299	0.023719088	0.032515048	0.002863268	0.01902099	0.007477697	0.077305781	0.00508081	0.020317936	0.002562066	0.004222647	0.005237046	0.035553659	0.007902201	0.036433091	0.006658186	0.0402413	0.006299113	0.068415162	0.008011143	0.050132525	0.004497886	0.048663311	0.005172852	0.073681734
HMDB0013127				3-Hydroxybutyrylcarnitine	248.14591				2.848												15.00805027	25.6631879	8.403688569	11.14138932	16.72635477	24.07991755	10.20781775	7.250331613	30.75034691	19.62528539	21.46839173	7.574568844	10.36503688	4.417569641	4.502167262	6.735110932	7.632643464	8.380412769	7.634586692	3.825396612	33.60852229	13.23172978	6.204998604	9.755372147	13.37952005	6.678183563	7.90588936	9.031996422	19.07345764	6.195820297	10.72869561	9.404104798	11.2373666	30.44887944	12.16579656	4.96055628	28.66436733	46.80397686	18.14231775	15.19758613	14.59245912	15.32709868	22.2721411	14.6210346	9.175112759	1.321033632	32.05064254	9.932265123	7.634248633	7.176842314	9.128532354	4.06684098	27.13458142	26.87509643	8.166789473	6.942992642	11.4255849	15.06362252	7.042767597	7.057181442
HMDB0000479				3-Methylhistidine	170.08989				8.418												0.230132845	0.101787927	0.065814527	0.040620626	0.466700223	0.312763852	0.154004681	0.081462934	0.191350019	0.129633489	0.123097083	0.060718765	0.131387739	0.077593039	0.129142409	0.102132041	0.284089293	0.239258706	0.208765298	0.132885157	0.155655224	0.077485398	0.298213311	0.177058492	0.212239645	0.152644124	0.090728492	0.020279254	0.253527706	0.072316254	0.038968195	0.039440918	0.092037501	0.115955077	0.299599589	0.197913625	0.039553881	0.111353409	0.158008681	0.069432954	0.081451447	0.056128704	0.121735494	0.111417827	0.137373621	0.016884257	0.471917499	0.316815736	0.136233543	0.130211128	0.140520758	0.037050645	0.087813239	0.107014868	0.089896427	0.040958729	0.173604219	0.112160483	0.193702942	0.087459142
HMDB0000725				4-Hydroxyproline	132.064				5.221												0.238515148	0.228275401	0.323472733	0.258952886	0.143210092	0.247233888	0.122633818	0.066286614	0.207287568	0.100611655	0.15219827	0.073051371	0.328760414	0.169180186	0.133998213	0.08041774	0.11089707	0.046754218	0.605147585	0.207842928	0.141820102	0.069622603	0.099154103	0.134978783	0.234947843	0.045420723	0.165002548	0.156487329	0.223762199	0.079305269	0.155370683	0.066462175	0.091021362	0.086503298	0.681786203	0.157222425	0.097150996	0.435611076	0.290070572	0.215399176	0.28552122	0.174233835	0.116574125	0.095962303	0.156488418	0.056930745	0.177381648	0.12957238	0.257707114	0.073298381	0.220542021	0.115359074	0.154848449	0.12672919	0.33727167	0.103428498	0.096628943	0.048212838	0.140498763	0.1215501
HMDB0000982				5-Methylcytidine	258.10523				3.323												0.053161273	0.006630072	0.038487953	0.033007542	0.041369872	0.037094184	0.139141639	0.053791226	0.041627158	0.020244508	0.040538305	0.016600245	0.084520933	0.040882851	0.076858634	0.039445764	0.043162764	0.04123023	0.111734651	0.047807901	0.02100278	0.01485707	0.032518088	0.068172928	0.048159029	0.015036809	0.060027219	0.036602549	0.051926241	0.010067971	0.024657234	0.029263186	0.033917851	0.038060649	0.081828846	0.023592237	0.015307377	0.02903519	0.06610229	0.06566617	0.053437785	0.033376308	0.031533325	0.017023899	0.053135207	0.014950093	0.016532135	0.01583632	0.10118888	0.032818503	0.149444361	0.012762111	0.034170137	0.026664739	0.052523828	0.01207065	0.042624493	0.028660183	0.129161888	0.041438559
HMDB0000897				7-Methylguanine	166.06974				1.724												0.398175782	0.115531374	0.223921881	0.087640732	0.407405984	0.323767448	0.564502795	0.220079319	0.192326995	0.248755639	0.274724561	0.189834569	0.358112512	0.197759509	0.54680509	0.225936454	0.324699592	0.282768226	0.554366029	0.428878351	0.616782345	0.302358936	0.7957429	0.406033899	0.260276562	0.150777024	0.482636887	0.0513966	0.418978796	0.167382962	0.089353037	0.072910025	0.278247391	0.606108172	0.403404103	0.218374951	0.535144327	0.410792168	0.38491041	0.373902782	0.407631415	0.253961386	0.366314743	0.213046741	0.303847196	0.076187778	0.300287782	0.167728304	0.786525704	0.247746257	1.253228624	0.197242904	0.341446054	0.185948704	0.383883102	0.230269051	0.503720578	0.24903688	0.636661537	0.181549582
HMDB0000895				Acetylcholine	146.11534				3.031												62.2278734	8.68095056	52.06869117	27.30952989	18.56552839	27.5654706	126.2420754	11.70661013	12.09911306	6.038124231	16.4925204	13.38412513	10.99525894	5.378063422	21.63934552	11.51278194	14.00843131	11.94654045	16.9437142	9.498424759	30.96466091	20.08852202	55.55364185	12.88515376	19.90311535	8.300000467	53.92348018	10.71969974	50.82578217	7.638411498	11.14331579	6.885353764	14.23342539	53.81201465	17.34146285	9.355957302	33.82661016	40.2420316	35.37295891	21.56531522	24.53391595	17.64534193	31.81761183	33.5346213	22.60707225	7.350249065	40.35211113	10.67537238	28.332358	14.57630942	48.02305805	7.353881672	56.20498292	22.28324634	20.17454504	12.85180418	52.54462556	18.68988813	63.05368369	12.81624478
HMDB0000045				Adenosine monophosphate	348.06572				7.562												2.247791597	1.79718368	1.480348101	0.732608213	3.286491093	1.532193973	1.762405384	1.2265914	5.707849142	1.765597168	2.657258703	1.673327958	2.782191263	1.468790178	2.434428619	0.535545591	3.287449536	2.321237837	2.759629402	1.456086627	4.648610195	1.362601706	5.204927198	1.824833089	1.527951014	1.733176863	2.915137043	0.534352842	3.695962664	0.8936438	1.477870098	1.111597846	1.498386521	3.410298243	2.507543977	1.740164923	3.89905848	5.358885632	3.355662506	2.38747772	3.221555636	3.503394294	3.484138762	3.33863962	0.552131214	0.011893582	9.230571788	1.215212692	1.17016547	0.65805452	2.663996145	1.46588752	3.363721811	2.853769984	2.358192283	3.834578412	1.004455238	0.193666297	0.13162782	0.38031878
