database_identifier	chemical_formula	smiles	inchi	metabolite_identification	mass_to_charge	fragmentation	modifications	charge	retention_time	taxid	species	database	database_version	reliability	uri	search_engine	search_engine_score	smallmolecule_abundance_sub	smallmolecule_abundance_stdev_sub	smallmolecule_abundance_std_error_sub	P01-Ltu	P01-LN	P02-Ltu	P02-LN	P03-Ltu	P03-LN	P04-Ltu	P04-LN	P05-Ltu	P05-LN	P06-Ltu	P06-LN	P07-Ltu	P07-LN	P08-Ltu	P08-LN	P09-Ltu	P09-LN	P10-Ltu	P10-LN	P11-Rtu	P11-RN	P12-Rtu	P12-RN	P13-Rtu	P13-RN	P14-Rtu	P14-RN	P15-Rtu	P15-RN	P16-Rtu	P16-RN	P17-Rtu	P17-RN	P18-Rtu	P18-RN	P19-Rtu	P19-RN	P20-Rtu	P20-RN	P21-Rmu	P21-RN	P22-Rmu	P22-RN	P23-Rmu	P23-RN	P24-Rmu	P24-RN	P25-Rmu	P25-RN	P26-Rmu	P26-RN	P27-Rmu	P27-RN	P28-Rmu	P28-RN	P29-Rmu	P29-RN	P30-Rmu	P30-RN
HMDB0003282				1-Methylguanine	166.07216				3.668												0.012637617	0.001116377	0.021489117	0.004770832	0.021895028	0.009483181	0.07129627	0.037183801	0.008307339	0.002837232	0.013930403	0.004333633	0.046973025	0.012520648	0.067336817	0.017964583	0.012736549	0.008703953	0.07690929	0.038821829	0.004020821	0.001664158	0.062970254	0.050763906	0.021347762	0.005042638	0.028164248	0.002338118	0.019414918	0.004380206	0.001258236	0.001116113	0.018891803	0.016601162	0.037820737	0.010268386	0.010036847	0.00289986	0.023246161	0.017441195	0.037356035	0.013538005	0.005200527	0.002336623	0.031399052	0.003163169	0.004247064	0.005552082	0.076092678	0.011363275	0.102803824	0.003977949	0.015123132	0.0044504	0.010463583	0.003529472	0.02924452	0.007215329	0.055673965	0.006397326
				2-Aminobutyric acidȘ 2-Aminoisobutyric acid	104.07032				0.851												0.048702879	0.021784479	0.037870234	0.026840151	0.040756146	0.023746798	0.047347043	0.025709846	0.022516539	0.009152473	0.026498572	0.009968725	0.021399776	0.015250785	0.026771318	0.022584139	0.023257441	0.020985945	0.02538362	0.014079508	0.027283962	0.016287354	0.038874359	0.022985959	0.020123673	0.014515731	0.022785699	0.011427826	0.024945782	0.007695128	0.019102045	0.04883531	0.018868567	0.016434065	0.023602876	0.008540344	0.041001634	0.011087683	0.016185161	0.011314001	0.015897616	0.012862875	0.011785911	0.008085748	0.014163764	0.004217227	0.015282599	0.014355017	0.024512566	0.011528995	0.038036686	0.005113172	0.035878849	0.020340204	0.022374673	0.006092446	0.030122952	0.009374476	0.007974858	0.008138779
HMDB0002641				2-Hydroxycinnamic acid	165.05439				1.439												0.162340088	0.228710006	0.269537925	0.140302299	0.139373021	0.209803323	0.350605623	0.306962235	0.170889892	0.349492376	0.300258301	0.382507284	0.23293796	0.301423243	0.245972244	0.26860005	0.210653852	0.200909368	0.184631019	0.343897833	0.096573189	0.168728915	0.657875632	0.244801713	0.401350757	0.213796024	0.219332162	0.320570783	0.415770273	0.3250038	0.166256026	0.150514652	0.969048873	0.851846654	0.336514847	0.162529876	0.247110063	0.980972337	0.315862072	0.338516165	0.275645656	0.183464556	0.102953462	0.252831054	0.995980999	0.923610969	0.148885413	0.143972812	0.278816049	0.237045	2.281747094	0.712911877	0.320673905	0.276766907	0.181599652	0.275251614	2.203862734	0.635291702	0.378146175	0.19131923
HMDB0010715				2-Phenylacetamide	136.07558				1.431												0.16672129	0.243460247	0.271821494	0.144747035	0.144886178	0.216634102	0.356744811	0.323628459	0.176741599	0.364345249	0.310463484	0.403182886	0.248134889	0.32590463	0.26363045	0.291580021	0.231843137	0.223568781	0.202641645	0.376934891	0.105967662	0.189367629	0.726824774	0.276699135	0.451728407	0.244916527	0.250603767	0.372361432	0.474538379	0.370642505	0.182561294	0.163344108	1.113569446	0.971412498	0.393376314	0.193978808	0.293608424	1.154299895	0.37522723	0.405839058	0.32476513	0.21782166	0.124221425	0.302458696	1.178294538	1.119854206	0.179722965	0.176497224	0.334487091	0.287563328	2.715614904	0.858183316	0.388708025	0.341112986	0.224374845	0.342887356	2.679421034	0.777627952	0.465330536	0.233842409
HMDB0000393				3-Hexenedioic acid	145.04934				1.029												0.222236967	0.09711841	0.049858385	0.021740862	0.051315898	0.096024484	0.110038539	0.056275728	0.09664187	0.05210785	0.075853217	0.033553324	0.167467712	0.048635672	0.05148877	0.038730644	0.055721219	0.044252781	0.106620713	0.051581067	0.039449964	0.035192345	0.054015521	0.044883244	0.175877084	0.049260799	0.077451513	0.047523958	0.45677662	0.031569373	0.027666352	0.022637065	0.030921722	0.02721018	0.124593651	0.040664103	0.119425543	0.132610493	0.05787331	0.060859509	0.059451267	0.023166152	0.026565061	0.034558099	0.080192965	0.043258841	0.052478602	0.017373722	0.049040485	0.042992244	0.33972786	0.0481063	0.066822662	0.069247871	0.032410917	0.049860113	0.09748071	0.030145678	0.055958408	0.01889965
HMDB0013339				3-Hydroxy-11Z-octadecenoylcarnitine	442.35142				10.487												0.221224423	0.035335695	0.058073585	0.069958643	0.671476495	0.498991184	0.101513995	0.152216072	0.456854218	0.24468257	0.058681705	0.01669733	0.406556246	0.14581158	0.05677507	0.027449145	0.081970696	0.079345965	0.114065032	0.065037702	0.483709446	0.100937867	0.054517164	0.11404853	0.17255826	0.021738975	0.012621493	0.015415747	0.108845879	0.02034189	0.095385551	0.097937975	0.053311607	0.077068739	0.051680765	0.031690317	0.180152362	0.143871844	0.191647373	0.337055009	0.081939473	0.030700595	0.188250068	0.067906502	0.068202424	0.007907503	0.604990296	0.055902072	0.01790904	0.03564429	0.016547681	0.016239572	0.102336641	0.082348111	0.101160411	0.037713016	0.302266219	0.184963852	0.102697736	0.01926077
HMDB0013333				3-Hydroxy-9-hexadecenoylcarnitine	414.3205				10.081												0.032047094	0.008229127	0.032450141	0.010061142	0.311256266	0.161274441	0.088673572	0.066842688	0.414975712	0.123479283	0.027381969	0.002514759	0.16138391	0.063173679	0.026754045	0.010242217	0.029644486	0.023108131	0.054291642	0.024286464	0.259610936	0.052907026	0.038508339	0.025508755	0.097184407	0.01097598	0.002975564	0.002902575	0.07143232	0.00525284	0.020564136	0.021089228	0.015339172	0.021194682	0.030787445	0.010682347	0.06345745	0.059313482	0.134495695	0.122890784	0.028277166	0.00521266	0.077356488	0.02157415	0.016587292	0.007553184	0.222421426	0.013147071	0.005374043	0.005336108	0.007746493	0.004474795	0.031698252	0.023828238	0.023537067	0.011036866	0.126178546	0.033130893	0.044826286	0.003499736
HMDB0013336				3-Hydroxyhexadecanoylcarnitine	416.33607				10.35												0.217833513	0.029587552	0.069467643	0.039379548	0.865977491	0.73062267	0.136703512	0.179385913	0.942939991	0.165000729	0.149710458	0.013055192	0.715719859	0.231599512	0.121535115	0.039580087	0.108186849	0.115613139	0.247349771	0.096135376	0.769401994	0.143555458	0.090898646	0.141027769	0.282187953	0.023581158	0.014026416	0.012868335	0.129242717	0.014000103	0.120588983	0.118267355	0.059281974	0.048382946	0.073977835	0.040834407	0.285519096	0.09149121	0.25706784	0.317883918	0.118439978	0.033411535	0.170255508	0.069733807	0.076379994	0.004983975	1.090082083	0.08400421	0.030004538	0.027095921	0.030853706	0.008808284	0.098531188	0.088123537	0.09632474	0.028708871	0.429016483	0.147105605	0.134394579	0.036696103
HMDB0061189				3-Hydroxyvalerylcarnitine	262.16536				2.877												0.086597148	0.138985707	0.031822693	0.052942958	0.182290444	0.159234793	0.052161512	0.087544505	0.07956042	0.116250721	0.09098366	0.147166147	0.455905913	0.168238975	0.149065562	0.118158981	0.242886199	0.282929279	0.165698891	0.109918829	0.095980013	0.070642934	0.084962647	0.12151792	0.394672271	0.142409164	0.061295641	0.055587501	0.205526176	0.071106354	0.101992017	0.070989413	0.111682302	0.17305567	0.183468467	0.105358606	0.300095691	0.117910471	0.058769196	0.085643722	0.217622221	0.09038756	0.18445029	0.06328407	0.134340067	0.043032814	0.420813128	0.115644207	0.200014405	0.094749048	0.106887565	0.037121602	0.251853773	0.186800392	0.176679633	0.107938127	0.048881648	0.062341784	0.033964492	0.027670095
HMDB0003464				4-Guanidinobutanoic acid	146.09216				1.098												0.014789504	0.103922115	0.07141853	0.051313853	0.020865955	0.048536713	0.022845402	0.046371288	0.027169814	0.076500586	0.017363198	0.08405781	0.015771823	0.058784197	0.01830473	0.032197323	0.032678675	0.024159353	0.018549588	0.073914089	0.004047281	0.025166372	0.096854668	0.017989811	0.017031099	0.025838361	0.011083439	0.087363219	0.036123197	0.076806218	0.006796445	0.029345938	0.028956797	0.034814413	0.013700374	0.017556487	0.013624927	0.087282345	0.008523853	0.023813876	0.006057523	0.010692305	0.007673164	0.037971546	0.072283124	0.122380268	0.005871776	0.013104501	0.013633122	0.016720449	0.060167522	0.066821976	0.015451775	0.012223635	0.010573176	0.062692613	0.030139695	0.035738075	0.005910406	0.017896127
HMDB0013207				9-Hexadecenoylcarnitine	398.32567				10.394												2.155483177	0.184221336	0.153436384	0.135423919	3.404257176	1.893666352	0.622659975	0.36234558	0.835894461	0.833340538	0.094541428	0.053148064	2.993443444	0.525989833	0.487371136	0.082727358	0.381446011	0.356738035	1.002929534	0.42647389	0.904953268	0.514742095	0.865398399	0.840206269	1.942674896	0.234441016	0.027722678	0.07587293	0.74206396	0.10338931	0.35572018	0.235381974	0.18506893	0.358342112	0.379385814	0.127982705	1.70008099	1.663836525	1.118664936	1.401096708	0.551899792	0.090183003	0.251497646	0.108605249	0.215977524	0.022310246	1.209864878	0.170308801	0.094120382	0.1119114	0.162961563	0.223506137	0.440177477	0.255441714	0.697875575	0.284423077	1.72055994	0.530037733	0.81638362	0.022136101
