mzml_file	sample_name
1.mzML	P01-LN
2.mzML	P01-Ltu
3.mzML	P02-LN
4.mzML	P02-Ltu
5.mzML	P03-LN
6.mzML	P03-Ltu
7.mzML	P04-LN
8.mzML	P04-Ltu
9.mzML	P05-LN
10.mzML	P05-Ltu
11.mzML	P06-LN
12.mzML	P06-Ltu
13.mzML	P07-LN
14.mzML	P07-Ltu
15.mzML	P08-LN
16.mzML	P08-Ltu
17.mzML	P09-LN
18.mzML	P09-Ltu
19.mzML	P10-LN
20.mzML	P10-Ltu
21.mzML	P11-RN
22.mzML	P11-Rtu
23.mzML	P12-RN
24.mzML	P12-Rtu
25.mzML	P13-RN
26.mzML	P13-Rtu
27.mzML	P14-RN
28.mzML	P14-Rtu
29.mzML	P15-RN
30.mzML	P15-Rtu
31.mzML	P16-RN
32.mzML	P16-Rtu
33.mzML	P17-RN
34.mzML	P17-Rtu
35.mzML	P18-RN
36.mzML	P18-Rtu
37.mzML	P19-RN
38.mzML	P19-Rtu
39.mzML	P20-RN
40.mzML	P20-Rtu
41.mzML	P21-RN
42.mzML	P21-Rmu
43.mzML	P22-RN
44.mzML	P22-Rmu
45.mzML	P23-RN
46.mzML	P23-Rmu
47.mzML	P24-RN
48.mzML	P24-Rmu
49.mzML	P25-RN
50.mzML	P25-Rmu
51.mzML	P26-RN
52.mzML	P26-Rmu
53.mzML	P27-RN
54.mzML	P27-Rmu
55.mzML	P28-RN
56.mzML	P28-Rmu
57.mzML	P29-RN
58.mzML	P29-Rmu
59.mzML	P30-RN
60.mzML	P30-Rmu
