Entry_no,SubStructure,ESI_adduct,SubStructure_type,Abbrev_name,name,IUPAC,SMILES,formula,monoisotopic_mass,Neut.loss,frag,pos,neg,mass.shift,ref
243,1,0,4-hydroxy-2-nonenal-containing peptides,[HNE],[HNE],,,C9H16O2,156.1150236,1,0,1,0,0.0,"Yan, M et. al. MS2Analyzer  A Software for Small Molecule Substructure Annotations from Accurate Tandem Mass Spectra"
71,0,1,acetate,[Acetate],[Acetate],,,C2H5O2,60.02112937,1,0,1,1,60.02113,Even-electron ions: a systematic study of the neutral species lost in the dissociation of quasi-molecular ions
72,0,1,acetate,[Acetate-],[Acetate-],,,C2H5O3,61.02840537,0,1,0,1,60.02113,Even-electron ions: a systematic study of the neutral species lost in the dissociation of quasi-molecular ions
73,0,1,acetate,[Acetate+],[Acetate+],,,C2H5O4,61.02840537,0,1,1,0,60.02113,Even-electron ions: a systematic study of the neutral species lost in the dissociation of quasi-molecular ions
68,0,1,acetate_na,[Acetate_Na],[Acetate_Na],,,,82.00307,1,0,1,1,82.00307,Even-electron ions: a systematic study of the neutral species lost in the dissociation of quasi-molecular ions
69,0,1,acetate_na,[Acetate_Na-],[Acetate_Na-],,,,80.995794,0,1,0,1,82.00307,Even-electron ions: a systematic study of the neutral species lost in the dissociation of quasi-molecular ions
70,0,1,acetate_na,[Acetate_Na+],[Acetate_Na+],,,,83.010346,0,1,1,0,82.00307,Even-electron ions: a systematic study of the neutral species lost in the dissociation of quasi-molecular ions
1,1,0,acetyl,[Acetyl kete_43],[Acetylation ketene ELO],ethenylideneoxidanium,C=C=[OH+],C2H3O,43.01784114,0,1,1,0,42.010565,"Levsen, K. et. al. Structure elucidation of phase II metabolites by tandem mass spectrometry: an overview, Journal of Chromatography A, Volume 1067, Issues 12, 4 March 2005, Pages 55-72, ISSN 0021-9673, http://dx.doi.org/10.1016/j.chroma.2004.08.165."
2,1,0,acetyl,[Acetyl kete],[Acetylation ketene],ethenone,C=C=O,C2H2O,42.010565,1,0,1,1,42.010565,"Levsen, K. et. al. Structure elucidation of phase II metabolites by tandem mass spectrometry: an overview, Journal of Chromatography A, Volume 1067, Issues 12, 4 March 2005, Pages 55-72, ISSN 0021-9673, http://dx.doi.org/10.1016/j.chroma.2004.08.165."
110,0,0,Ala_glycine or Glutamine,[Ala-Gly_or_Glut],[Ala-Gly_or_Glutamine],,,,146.0691422,1,0,1,1,0.0,Even-electron ions: a systematic study of the neutral species lost in the dissociation of quasi-molecular ions
89,1,0,aldehydes,[CH2O],[CH2O],,,,30.01056468,1,0,1,1,0.0,Even-electron ions: a systematic study of the neutral species lost in the dissociation of quasi-molecular ions
93,1,0,"aldehydes,ketones, nitroaromatic compounds",[CO],[CO],,,,27.994915,1,0,1,1,0.0,Even-electron ions: a systematic study of the neutral species lost in the dissociation of quasi-molecular ions
151,1,0,"aliph. amines (arom. amines), oximes",[NH3],[NH3],,,NH3,17.0265478,1,0,1,0,0.0,"Yan, M et. al. MS2Analyzer  A Software for Small Molecule Substructure Annotations from Accurate Tandem Mass Spectra"
229,1,0,alkylated methionine,[C3H7NOS],[C3H7NOS],,,C3H7NOS,105.0248332,1,0,1,0,0.0,"Yan, M et. al. MS2Analyzer  A Software for Small Molecule Substructure Annotations from Accurate Tandem Mass Spectra"
190,1,0,alpha_beta-unsaturated acids,[CH3COOH],[CH3COOH],,,C2H4O2,60.0211284,1,0,1,0,0.0,"Yan, M et. al. MS2Analyzer  A Software for Small Molecule Substructure Annotations from Accurate Tandem Mass Spectra"
123,1,0,amines,[Reduction],[Reduction],,,,2.015650064,1,0,1,1,0.0,Even-electron ions: a systematic study of the neutral species lost in the dissociation of quasi-molecular ions
154,1,0,"amines, aromatic nitrile, aminosulfonic acids",[HCN],[HCN],,,HCN,27.0108986,1,0,1,1,0.0,"Yan, M et. al. MS2Analyzer  A Software for Small Molecule Substructure Annotations from Accurate Tandem Mass Spectra"
182,1,0,aminoanthrachinones,[HCN+CO],[HCN+CO],,,C2HNO,55.0058136,1,0,1,0,0.0,"Yan, M et. al. MS2Analyzer  A Software for Small Molecule Substructure Annotations from Accurate Tandem Mass Spectra"
173,1,0,aminoanthraquinones,[NH3+CO or HCN+H2O],[NH3+CO or HCN+H2O],,,CH3NO,45.0214628,1,0,1,0,0.0,"Yan, M et. al. MS2Analyzer  A Software for Small Molecule Substructure Annotations from Accurate Tandem Mass Spectra"
192,1,0,aminocarboxylic acids,[CO2+NH3],[CO2+NH3],,,CH3NO2,61.0163778,1,0,1,0,0.0,"Yan, M et. al. MS2Analyzer  A Software for Small Molecule Substructure Annotations from Accurate Tandem Mass Spectra"
