name,dat_no,run_no,bytes,md5,sftp_path
g1_46std_neg_1.mzXML,OED00726233,OER00253320,233883770,33513cc0494174324a39ec6a2a2e7778,/Public/byRun/OER00/OER0025/OER002533/OER00253320/g1_46std_neg_1.mzXML
g1_46std_neg_2.mzXML,OED00726234,OER00253320,230761256,e7c77a0bf6b05b54f5ab8809d18ec96a,/Public/byRun/OER00/OER0025/OER002533/OER00253320/g1_46std_neg_2.mzXML
g1_46std_neg_3.mzXML,OED00726236,OER00253320,226850985,dd4b51d91d27a96276b13d8dbd4d4ce6,/Public/byRun/OER00/OER0025/OER002533/OER00253320/g1_46std_neg_3.mzXML
g1_46std_neg_4.mzXML,OED00726237,OER00253320,226488620,1a7f0968b34cc2e33cefed919f95cc63,/Public/byRun/OER00/OER0025/OER002533/OER00253320/g1_46std_neg_4.mzXML
g1_46std_pos_1.mzXML,OED00726245,OER00253320,263213953,11184b1ce040d0f80611009d49024901,/Public/byRun/OER00/OER0025/OER002533/OER00253320/g1_46std_pos_1.mzXML
g1_46std_pos_2.mzXML,OED00726248,OER00253320,257741763,a114d33ea0428533951d699ffa860a96,/Public/byRun/OER00/OER0025/OER002533/OER00253320/g1_46std_pos_2.mzXML
g1_46std_pos_3.mzXML,OED00726247,OER00253320,253299988,43e43b68e9868bde5757773bad32bfd3,/Public/byRun/OER00/OER0025/OER002533/OER00253320/g1_46std_pos_3.mzXML
g1_46std_pos_4.mzXML,OED00726246,OER00253320,255811076,7d0378a6e6048d79a53db6d861eb1ca5,/Public/byRun/OER00/OER0025/OER002533/OER00253320/g1_46std_pos_4.mzXML
g2_46std_neg_1.mzXML,OED00726235,OER00253320,219312654,5d38488ec40a51b1a7f946b18063c850,/Public/byRun/OER00/OER0025/OER002533/OER00253320/g2_46std_neg_1.mzXML
g2_46std_neg_2.mzXML,OED00726241,OER00253320,215905552,ed4ad8164f7f514df03eb23b174f1bb6,/Public/byRun/OER00/OER0025/OER002533/OER00253320/g2_46std_neg_2.mzXML
g2_46std_neg_3.mzXML,OED00726239,OER00253320,213192882,cedb46543c80676056cbc76b6a039b9b,/Public/byRun/OER00/OER0025/OER002533/OER00253320/g2_46std_neg_3.mzXML
g2_46std_neg_4.mzXML,OED00726238,OER00253320,212865057,5e934ab2df73a1577dc738ee7a2078f1,/Public/byRun/OER00/OER0025/OER002533/OER00253320/g2_46std_neg_4.mzXML
g2_46std_pos_1.mzXML,OED00726250,OER00253320,250455543,15530030d3e580d4e646aba0c78a53d3,/Public/byRun/OER00/OER0025/OER002533/OER00253320/g2_46std_pos_1.mzXML
g2_46std_pos_2.mzXML,OED00726249,OER00253320,248257467,e8260c60a88149db659a6b6d84716dd4,/Public/byRun/OER00/OER0025/OER002533/OER00253320/g2_46std_pos_2.mzXML
g2_46std_pos_3.mzXML,OED00726251,OER00253320,244565487,1508409131d30cd57465575cd22c2c13,/Public/byRun/OER00/OER0025/OER002533/OER00253320/g2_46std_pos_3.mzXML
g2_46std_pos_4.mzXML,OED00726254,OER00253320,240421340,99792f85461451497e1126497db4921c,/Public/byRun/OER00/OER0025/OER002533/OER00253320/g2_46std_pos_4.mzXML
g4_46std_neg_1.mzXML,OED00726240,OER00253320,235296444,2247ef78b93cd119d3770489705f610f,/Public/byRun/OER00/OER0025/OER002533/OER00253320/g4_46std_neg_1.mzXML
g4_46std_neg_2.mzXML,OED00726242,OER00253320,236312818,0d231b3abfd3155383f0f71496899940,/Public/byRun/OER00/OER0025/OER002533/OER00253320/g4_46std_neg_2.mzXML
g4_46std_neg_3.mzXML,OED00726244,OER00253320,234841889,67bdb82c75b08d568f34f6692380216e,/Public/byRun/OER00/OER0025/OER002533/OER00253320/g4_46std_neg_3.mzXML
g4_46std_neg_4.mzXML,OED00726243,OER00253320,234592472,5a53a9b6567c74da7133b592267f83fd,/Public/byRun/OER00/OER0025/OER002533/OER00253320/g4_46std_neg_4.mzXML
g4_46std_pos_1.mzXML,OED00726252,OER00253320,260264056,d552c93e9fefd8cb190f6c7d51ac6a1c,/Public/byRun/OER00/OER0025/OER002533/OER00253320/g4_46std_pos_1.mzXML
g4_46std_pos_2.mzXML,OED00726253,OER00253320,257900751,81e0ae0cc4da6c024e0b32be97854cda,/Public/byRun/OER00/OER0025/OER002533/OER00253320/g4_46std_pos_2.mzXML
g4_46std_pos_3.mzXML,OED00726255,OER00253320,258140983,8ed88fe6b9a17a67dd43466335a4e660,/Public/byRun/OER00/OER0025/OER002533/OER00253320/g4_46std_pos_3.mzXML
g4_46std_pos_4.mzXML,OED00726256,OER00253320,259071173,e00999202b5dcae526b90365d0401bd2,/Public/byRun/OER00/OER0025/OER002533/OER00253320/g4_46std_pos_4.mzXML
